ID,PEOPCOLORPCT,LOWINCPCT,UNEMPPCT,DISABILITYPCT,LINGISOPCT,LESSHSPCT,UNDER5PCT,OVER64PCT,LIFEEXPPCT,PRE1960PCT,PM25,OZONE,DSLPM,RSEI_AIR,PTRAF,PTSDF,UST,PWDIS,NO2,DWATER,PNPL,PRMP,E_TOTPOP,E_HU,E_HH,E_POV150_P,E_UNINSUR_P,E_HBURD_P,E_SNGPNT_P,E_MUNIT_P,E_MOBILE_P,E_CROWD_P,E_NOVEH_P,E_GROUPQ_P,SVI_statewide,House_Vacant_P,With_Medicaid_P,Work_Drivealone_P,Work_Carpooled_P,Work_PublicTransportation_P,Work_Walk_P,Work_Taximotorbike_P,Work_Fromhome_P,With_PublicAssIncome_P,With_SSI_P,Mean_Transportation_time(min),Mean_Proportion_HHIncome,Owner_occupied_P
51153900100,0.501236858,0.07668522,0.006586826,0.095916429,0.033354715,0.044565217,0.0572047,0.299319728,0.182564103,0.045257285,7.117336885,55.85079,0.17022229,58.79563204,1048284.539,0.535742038,0.55291834,2955.696985,5.941893021,0.0,0.150438512,0.199625414,3234,1613,1559,0.03153988868274583,0.06184291898577613,0.11610006414368185,0.007697241821680564,0.2758834469931804,0.0,0.004490057729313663,0.007055805003207184,0.0,0.1777,0.03347799132052077,0.07027540360873694,0.6146198830409356,0.025730994152046785,0.052046783625730994,0.0,0.07485380116959064,0.2327485380116959,0.02052597819114817,0.05323925593329057,45.510670731707314,0.23687782805429866,0.8401360544217688
51153900201,0.77181483,0.327175698,0.06742281,0.154356846,0.096774194,0.133783784,0.032363785,0.072101598,0.217435897,0.112476371,7.212371585,56.00132,0.246330689,47.18831416,1939166.587,0.506328415,5.158355947,1608.187692,7.430988248,0.0,0.107441159,0.212286876,2441,1058,961,0.2556329373207702,0.11020073740270381,0.3870967741935484,0.09781477627471384,0.3714555765595463,0.0,0.06971904266389178,0.011446409989594173,0.0020483408439164277,0.8996,0.09168241965973535,0.195850622406639,0.6833667334669339,0.10754843019372078,0.016700066800267203,0.015364061456245824,0.0,0.17702070808283232,0.08012486992715921,0.037460978147762745,40.846185064935064,0.3531188118811881,0.5307881773399015
51153900202,0.731086324,0.276915616,0.048494329,0.039678676,0.135111111,0.171480144,0.040979631,0.066440349,0.169230769,0.584518167,7.216208197,55.82964,0.243887459,42.40539441,1942872.958,0.323682439,2.421485001,1481.485726,7.024271642,0.0,0.100379162,0.197936753,4124,1266,1125,0.030310378273520854,0.18574199806013578,0.19377777777777777,0.03822222222222222,0.16192733017377567,0.004739336492890996,0.0,0.012444444444444444,0.0,0.4794,0.11137440758293839,0.1550632911392405,0.7568901686548746,0.12669683257918551,0.009872480460715755,0.0,0.04031262854792267,0.06622788975730153,0.12266666666666666,0.0,35.77643171806167,0.2584862385321101,0.8419010669253152
51153900203,0.889300501,0.301154936,0.042467591,0.100787057,0.143669986,0.191298094,0.095227718,0.057528873,0.206153846,0.10210396,7.197157923,55.83719,0.217923803,45.32269551,1432192.241,0.257901881,1.43282189,1696.97799,7.046775897,0.0,0.10855256,0.0,4589,1616,1406,0.23011549357158423,0.18108520374809325,0.3435277382645804,0.09246088193456614,0.6113861386138614,0.0,0.08463726884779517,0.007823613086770981,0.0013074743952930922,0.9014,0.12995049504950495,0.22584171403585482,0.7672413793103449,0.08113590263691683,0.019269776876267748,0.061866125760649086,0.03600405679513185,0.034482758620689655,0.07610241820768136,0.077524893314367,39.437598321971684,0.3398894154818325,0.10168012219070478
51153900301,0.55638237,0.232398397,0.092181467,0.134315425,0.093147039,0.109263658,0.048368632,0.089009731,0.180512821,0.198136646,7.243385246,56.03626,0.250596623,42.57440461,1980590.732,0.455011814,5.261958187,749.7767363,6.979261768,0.0,0.039346429,0.23544811,3494,1610,1503,0.20950200343445907,0.090440755580996,0.2754491017964072,0.07917498336660013,0.2248447204968944,0.0,0.012641383898868928,0.0552228875582169,0.0,0.7464,0.06645962732919254,0.17215482380127095,0.6170798898071626,0.08925619834710743,0.07272727272727272,0.0765840220385675,0.008815426997245178,0.13553719008264462,0.08848968729208251,0.023286759813705923,37.584448693435306,0.3458955223880597,0.6038923869490556
51153900302,0.69760205,0.289380696,0.00859423,0.098865784,0.066008083,0.171858501,0.048142046,0.064616511,0.180512821,0.015879828,7.232929781,55.79823,0.248440548,40.20947831,1876875.904,0.286848501,2.458813027,839.2163909,7.404631107,0.0,0.0,0.195784515,5463,2330,2227,0.22423576789309904,0.1111111111111111,0.26986977997305794,0.11989223170184105,0.19399141630901287,0.05665236051502146,0.042209250112258644,0.014369106421194431,0.0,0.7987,0.04420600858369099,0.18865784499054822,0.6873347046723479,0.06611813106082869,0.05877167205406994,0.0,0.022039377020276227,0.16573611519247722,0.05568028738212842,0.01706331387516839,43.30398027474463,0.351252052545156,0.537250594911221
51153900403,0.752579008,0.254022989,0.054404946,0.103629496,0.103076923,0.151957209,0.127231046,0.125921074,0.16,0.051192843,7.208924863,55.47455,0.178071521,34.71307642,1311404.74,0.09824936,2.968459601,1223.102014,7.419461825,0.0,0.078182302,0.0,6107,2012,1950,0.19846078270836745,0.07024725724578353,0.3158974358974359,0.015384615384615385,0.20377733598409542,0.0,0.03333333333333333,0.05692307692307692,0.00458490257082037,0.845,0.030815109343936383,0.20578091640663493,0.6299238662694472,0.23932472691161866,0.039390930155577625,0.003641178417742469,0.004303210857332009,0.08341608738828203,0.16615384615384615,0.06,36.82104316546763,0.4896039603960396,0.828096726435269
51153900404,0.85022799,0.354005622,0.089608177,0.08135833,0.199541284,0.218958611,0.052086987,0.081024202,0.164102564,0.053650442,7.205901366,55.28439,0.173518369,32.82387659,1072587.897,0.024933455,1.103061651,1128.579837,6.966819502,0.0,0.102979571,0.0,5702,1808,1744,0.2653454928095405,0.2351806383725009,0.32454128440366975,0.12270642201834862,0.07190265486725664,0.0,0.0389908256880734,0.006880733944954129,0.0007015082427218519,0.894,0.035398230088495575,0.22709586133710646,0.6943198804185351,0.12406576980568013,0.032511210762331835,0.016442451420029897,0.03288490284005979,0.09977578475336323,0.1301605504587156,0.029243119266055047,47.328909166321026,0.37523584905660384,0.7109512109512109
51153900407,0.823247285,0.276343631,0.069092697,0.087767102,0.071365248,0.146657572,0.097898152,0.087318381,,0.044769874,7.202148634,55.18307,0.170696031,29.93241569,960221.5154,0.0,3.055211956,31.74779747,6.265945822,0.0,0.123719695,0.0,7089,2390,2256,0.16786570743405277,0.13189448441247004,0.3497340425531915,0.06382978723404255,0.3903765690376569,0.0,0.11790780141843972,0.014627659574468085,0.0,0.8237,0.05606694560669456,0.2422199913953822,0.722381822930269,0.054844606946983544,0.024027161138678504,0.004439801514755811,0.014886393314181248,0.1794202141551319,0.12056737588652482,0.026595744680851064,43.94493952896244,0.3211585866885785,0.4467484835660883
51153900408,0.674728159,0.068616423,0.033874382,0.081797668,0.091916558,0.101277372,0.131983502,0.069553806,0.178461538,0.061442006,7.191485792,55.15391,0.157985338,29.17011798,816841.4259,0.0,0.0,485.9194125,5.89665489,0.0,0.131832714,0.0,5334,1595,1534,0.05849268841394826,0.12073490813648294,0.13363754889178617,0.03585397653194263,0.0,0.0,0.13233376792698825,0.016297262059973925,0.0,0.391,0.03824451410658307,0.20364798796540054,0.7107919254658385,0.11451863354037267,0.024456521739130436,0.009704968944099378,0.009704968944099378,0.13082298136645962,0.1290743155149935,0.0045632333767926985,45.27020991514069,0.2585616438356164,0.7994000749906262
51153900409,0.858085149,0.121382637,0.024560239,0.104966821,0.091830272,0.234729494,0.029982011,0.121726964,0.206153846,0.0,7.189668306,55.24277,0.160766455,31.51438735,953881.3149,0.0,0.0,1444.887787,6.513326571,0.0,0.113966102,0.0,5003,1603,1579,0.0741555066959824,0.13931641015390767,0.19189360354654844,0.026599113362887904,0.0,0.0,0.013932868904369854,0.022799240025332488,0.0,0.3994,0.014971927635683094,0.09712447214960788,0.6867142371729528,0.15970098538905877,0.010873258579680599,0.0,0.05946313285762827,0.08324838600067958,0.060797973400886635,0.011399620012666244,41.330615270570796,0.3534383954154728,0.732560463721767
51153900410,0.882193176,0.307248345,0.050169109,0.051912568,0.071703561,0.068422482,0.108300798,0.038872857,0.176410256,0.014905149,7.158474044,55.32373,0.176123879,36.39436334,1318504.531,0.042028269,1.822891019,2210.774855,7.097802327,0.0,0.234565584,0.0,5891,2214,2078,0.14904090986250212,0.15803768460363266,0.27382098171318575,0.17083734359961503,0.5460704607046071,0.032520325203252036,0.07459095283926853,0.01010587102983638,0.0,0.8029,0.06142728093947606,0.13319672131147542,0.7300669506999391,0.030127814972611078,0.11077297626293366,0.014303104077906269,0.04625684723067559,0.06847230675593427,0.04379210779595765,0.01588065447545717,40.224599803985626,0.31162687886825824,0.47733831268035987
51153900502,0.695422535,0.155176005,0.053894183,0.061759729,0.033806957,0.045620952,0.075899844,0.087050078,0.176410256,0.0,7.152292077,55.49733,0.211705209,44.85417152,1523818.995,0.20549711,2.088257473,2471.517405,7.548125292,0.0,0.220695041,0.0,5112,2130,2041,0.053794992175273865,0.047339593114241005,0.2724154826065654,0.025477707006369428,0.3807511737089202,0.0,0.030377266046055854,0.03576678098971093,0.02543035993740219,0.5664,0.04178403755868545,0.15820642978003385,0.6334519572953736,0.0870268521514073,0.06664509867356842,0.0038822387576835974,0.050145583953413134,0.15884826916855388,0.08721215090641843,0.02792748652621264,42.03076923076923,0.3007116620752985,0.48414291449217184
51153900503,0.862150144,0.215890411,0.075921909,0.067859022,0.084621644,0.209232097,0.092074287,0.090504839,0.164102564,0.136470588,7.193168306,55.66076,0.217562229,42.095928,1907799.483,0.226708482,1.263350919,2006.137798,7.477478341,0.0,0.12830849,0.0,3823,1275,1229,0.14935914203505102,0.1420350510070625,0.23840520748576077,0.05614320585842148,0.40705882352941175,0.0,0.06834825061025224,0.007323026851098454,0.0,0.7894,0.03607843137254902,0.22567069963177275,0.6264044943820225,0.16900749063670412,0.0351123595505618,0.027153558052434457,0.06835205992509363,0.07397003745318352,0.014646053702196907,0.0,46.74418604651163,0.32633763837638374,0.6984043944546168
51153900504,0.86316204,0.468972332,0.19214798,0.126009057,0.212274368,0.236950549,0.050009844,0.111045481,0.164102564,0.120310479,7.177772131,55.69278,0.217556775,45.25113794,1365936.922,0.230626832,2.15025423,2152.487718,7.118523772,0.0,0.110172242,0.0,5079,1546,1385,0.38472140185075804,0.251624335499114,0.41660649819494583,0.0851985559566787,0.2128072445019405,0.16882276843467012,0.06425992779783393,0.0332129963898917,0.0,0.9903,0.10413971539456662,0.2535932270131916,0.6935946462715105,0.1381453154875717,0.052581261950286805,0.05927342256214149,0.05640535372848948,0.0,0.22815884476534296,0.046209386281588445,38.79899617590822,0.4062622309197652,0.7456192163811775
