ID,PEOPCOLORPCT,LOWINCPCT,UNEMPPCT,DISABILITYPCT,LINGISOPCT,LESSHSPCT,UNDER5PCT,OVER64PCT,LIFEEXPPCT,PRE1960PCT,PM25,OZONE,DSLPM,RSEI_AIR,PTRAF,PTSDF,UST,PWDIS,NO2,DWATER,PNPL,PRMP,E_TOTPOP,E_HU,E_HH,E_POV150_P,E_UNINSUR_P,E_HBURD_P,E_SNGPNT_P,E_MUNIT_P,E_MOBILE_P,E_CROWD_P,E_NOVEH_P,E_GROUPQ_P,SVI_statewide,House_Vacant_P,With_Medicaid_P,Work_Drivealone_P,Work_Carpooled_P,Work_PublicTransportation_P,Work_Walk_P,Work_Taximotorbike_P,Work_Fromhome_P,With_PublicAssIncome_P,With_SSI_P,Mean_Transportation_time(min),Mean_Proportion_HHIncome,Owner_occupied_P,EMS_Calls,Fire_Calls,Structure_Fires,Stroke_Calls,Cardiac_Calls,Diabetic_Calls,CPR_Calls,Shootings,Stabbings,Opioid_Calls,Auto_Accidents,Total_Calls,Total_Crash,Percent_Fatal_Injury,Percent_Severe_Injury,Percent_Visible_Injury,Percent_Nonvisible_Injury,Avg_Kill_Person,Avg_Kill_Pedestrian,Avg_Injured_Person,Avg_Injured_Pedestrian,Percent_Workzone_Related,Percent_Schoolzone_Related,Percent_Alcohol_Related,Percent_Animal_Related,Percent_Unrestrained_Related,Percent_Bike_Related,Percent_Distracted_Related,Percent_Drowsy_Related,Percent_Drug_Related,Percent_Guardrail_Related,Percent_Hitrun_Related,Percent_Lgtruck_Related,Percent_Motorcycle_Related,Percent_Pedestrian_Related,Percent_Speed_Related,Percent_Senior_Related,Percent_Young_Related,Percent_Mainline_Related,Percent_Night_Related,Percent_Urban_Crash,Total_Population,Median_Age,Sex_Ratio(males per 100 females),Age_Dependency_Ratio,Old-age_Dependency_Ratio,Child_Dependency_Ratio
51153900901,0.75998674,0.297543976,0.047265161,0.074099137,0.042761463,0.209754722,0.051549809,0.075087021,0.209230769,0.150214592,7.024476503,54.8924,0.15422515,43.64059141,617775.3796,0.404154444,1.668831907,4292.497404,5.347383539,0,0.818762251,0,6033,2097,1941,0.2400132604,0.1576330184,0.2818134982,0.1571354972,0.1015736767,0.04339532666,0.04739824833,0.04430705822,0.001823305155,0.9403,0.07439198856,0.221451531,0.7255785993,0.1334535618,0.03276224827,0.01653140968,0.0180342651,0.07363991584,0.06594538897,0.0360638846,35.92796885,0.3439755839,0.5763865825,1981,422,27,18,66,26,35,14,1,24,215,2829,26,0.07692307692,0.1923076923,0.6923076923,0.03846153846,0.07692307692,0,1.692307692,0.03846153846,0,0,0.1153846154,0.03846153846,0.07692307692,0.03846153846,0.1153846154,0,0,0,0.1538461538,0,0.03846153846,0.03846153846,0.1538461538,0.1538461538,0.1153846154,1,0.3846153846,1,6363,31,89.6,58.1,12,46.2
51153900904,0.764697015,0.085463621,0.045604396,0.052447552,0.028280543,0.04494661,0.053964426,0.049291528,,0.0456718,6.989775683,55.0882,0.144219387,66.94235433,530888.8414,0.457200488,1.287070259,5345.34055,4.376006727,0,0.60977887,0,6634,1883,1768,0.05637624359,0.04145312029,0.08201357466,0.07070135747,0,0.006903876792,0.032239819,0,0.0009044317154,0.3572,0.06107275624,0.07996351475,0.6228522337,0.08361970218,0.05211912944,0.02749140893,0.01116838488,0.2027491409,0.06787330317,0.02092760181,45.9574659,0.3784957627,0.8255884128,1407,475,17,16,59,18,12,3,1,9,167,2184,56,0,0.125,0.7857142857,0.08928571429,0,0,1.607142857,0.01785714286,0.01785714286,0.01785714286,0.1071428571,0.01785714286,0.08928571429,0.01785714286,0.25,0.05357142857,0.01785714286,0.01785714286,0.03571428571,0.03571428571,0.07142857143,0.01785714286,0.1607142857,0.125,0.25,1,0.2857142857,1,7498,35.1,112.5,64,9.3,54.7
51153900905,0.735858257,0.195886386,0.108793325,0.135019711,0.026761333,0.070300937,0.083062419,0.109720416,0.183589744,0.11715915,6.988679508,54.78707,0.105171752,58.06339028,378613.9247,0.610764259,0.390342632,5690.108559,4.40406457,0,3.372635011,0,6152,1929,1831,0.1115084525,0.1214239272,0.1900600765,0.04915346805,0.08242612753,0,0.01966138722,0.008192244675,0.001788036411,0.6881,0.05080352514,0.1213863338,0.6349206349,0.1566137566,0.04902998236,0.009171075838,0.06102292769,0.08924162257,0.01583833971,0.03003823048,48.96251932,0.4012057878,0.8527927048,1180,346,18,14,49,23,9,2,3,6,46,1696,11,0.09090909091,0.09090909091,0.6363636364,0.1818181818,0.09090909091,0,1.272727273,0,0,0,0.1818181818,0,0.09090909091,0,0.09090909091,0,0.09090909091,0,0,0,0,0,0.1818181818,0,0.1818181818,1,0.1818181818,1,6301,40.3,144.2,51.9,14.2,37.8
51153901005,0.444511551,0.051111447,0.040507696,0.053642182,0.018411362,0.025343439,0.057224823,0.042276914,0.175384615,0.002104156,7.150998907,54.54996,0.139790394,23.75098068,466236.6797,0,0.143134103,22.11230586,4.580749549,0,0.263333754,0,6623,1901,1901,0.03336856409,0.02612109316,0.05260389269,0.021567596,0,0,0.01262493425,0.00841662283,0,0.056,0,0.04419384334,0.7079056865,0.07406380028,0.02746185853,0.005825242718,0.01109570042,0.1736477115,0.03314045239,0.02840610205,46.50553877,0.3194444444,0.9844481353,700,216,6,10,33,8,9,3,0,4,72,1061,33,0,0.09090909091,0.8484848485,0.06060606061,0,0,1.818181818,0,0,0,0.0303030303,0,0.06060606061,0.0303030303,0.2121212121,0.0303030303,0.0303030303,0.0303030303,0,0.1212121212,0,0,0.1515151515,0.303030303,0.1818181818,1,0.2424242424,0.9696969697,6849,33.9,111.4,63.4,10.2,53.2
51153901009,0.456697149,0.06105433,0.02276867,0.091297752,0.008932559,0.045615589,0.06993007,0.106239914,0.157948718,0.010272443,7.176833333,54.95034,0.148521017,26.71695376,634993.6713,0,0.108358093,157.4252248,5.311493204,0,0.16650453,0,7436,2239,2239,0.05903711673,0.009279182356,0.1170165252,0.0424296561,0,0,0,0.0151853506,0,0.0694,0,0.05585436492,0.6419679905,0.1099585062,0.04919976289,0.01333728512,0.005631298162,0.1799051571,0.032603841,0.01339883877,42.39880737,0.3722868217,0.9222700377,937,238,11,23,36,11,13,1,0,5,64,1339,31,0,0.1290322581,0.8709677419,0,0,0,2.096774194,0.09677419355,0,0,0.09677419355,0,0,0.06451612903,0.1290322581,0,0,0,0.03225806452,0,0.03225806452,0.09677419355,0.09677419355,0.1612903226,0.2258064516,1,0.2903225806,1,7328,36.8,98.8,75.5,20.8,54.7
51153901010,0.413371382,0.050346514,0.058237548,0.09043981,0,0.017159199,0.10680799,0.109050143,0.180512821,0,7.151104372,54.93834,0.151137401,29.21284243,666055.5656,0,0.210734162,356.4940379,5.838832018,0,0.173797749,0,4906,1467,1401,0.01324908276,0.09090909091,0.07708779443,0.08779443255,0,0,0,0.006423982869,0.001019160212,0.162,0.04498977505,0.056163535,0.6231477773,0.09611533841,0.05086103324,0.005206247497,0.00240288346,0.2222667201,0.009992862241,0.01070663812,50.70272354,0.2056122449,0.848806366,821,189,5,11,29,15,3,1,0,5,30,1109,14,0.1428571429,0,0.8571428571,0,0.1428571429,0,1.714285714,0,0,0,0.07142857143,0.07142857143,0,0,0.2857142857,0.07142857143,0,0.07142857143,0,0.1428571429,0,0,0.1428571429,0.3571428571,0.4285714286,1,0.07142857143,1,4765,37.4,109.4,59,17.5,41.5
51153901011,0.617228704,0.116988972,0.057793345,0.085816642,0.029115934,0.052843602,0.077033722,0.084065846,0.161025641,0.003064351,7.164756284,55.15872,0.160104358,33.38719093,870125.5679,0.031362847,0,1935.718101,5.840134244,0,0.201523888,0,6257,1958,1889,0.09173725428,0.04602844814,0.1101111699,0.06670195871,0,0,0.02276336686,0.008470089995,0,0.2652,0.03524004086,0.08207132389,0.6473763118,0.04647676162,0.06086956522,0.0035982009,0.04527736132,0.1964017991,0.06511381683,0.03970354685,50.29197761,0.41671875,0.8929199297,971,246,17,20,45,19,14,1,2,6,53,1394,42,0.04761904762,0.09523809524,0.8095238095,0.04761904762,0.04761904762,0,1.619047619,0.07142857143,0.02380952381,0,0.04761904762,0,0.02380952381,0,0.3095238095,0.02380952381,0,0.07142857143,0.04761904762,0.09523809524,0.02380952381,0.07142857143,0.2857142857,0.2857142857,0.07142857143,1,0.2857142857,1,6534,38.6,110.8,47.8,14.5,33.3
51153901012,0.356486797,0.1830617,0.033117351,0.183188406,0.023255814,0.068707725,0.064293915,0.434270953,0.175384615,0.028772754,7.119189891,55.07797,0.169051405,38.64243346,847446.4844,0.203785448,1.396550406,2786.160893,5.745440728,0,0.284355968,0,3484,1703,1634,0.1438002296,0.01664753157,0.2154222766,0.02325581395,0.08573106283,0,0,0.00611995104,0.001148105626,0.3443,0.04051673517,0.1301449275,0.6078431373,0.0987654321,0.02396514161,0,0.02106027596,0.2483660131,0.05936352509,0.03365973072,45.56763285,0.3288745387,0.7913793103,1953,294,16,27,81,29,24,1,2,34,229,2690,108,0.009259259259,0.1666666667,0.7037037037,0.1203703704,0.009259259259,0,1.407407407,0.01851851852,0.02777777778,0.009259259259,0.1018518519,0.01851851852,0.05555555556,0,0.2222222222,0.0462962963,0.009259259259,0.1944444444,0.06481481481,0.1296296296,0.01851851852,0.01851851852,0.4444444444,0.1759259259,0.1111111111,0.9907407407,0.3518518519,1,3668,57.3,82.6,127.3,89.8,37.4
51153901013,0.777545536,0.283069573,0.016533637,0.077363034,0.076785714,0.110280374,0.058524933,0.057629143,,0.047413793,7.060565847,54.89499,0.185124713,38.00409591,1132619.329,0.27172252,3.766458372,3371.522564,5.905947048,0,0.45607832,0,3349,1160,1120,0.222454464,0.05733054643,0.2883928571,0.1625,0,0.125862069,0.02767857143,0.03214285714,0,0.6687,0.03448275862,0.2709211318,0.6922608166,0.08836075564,0.0450944546,0,0.02559414991,0.1486898233,0.1116071429,0.03125,41.86828919,0.4755976096,0.757539564,1769,317,13,18,107,15,8,2,2,29,467,2747,60,0,0.06666666667,0.85,0.08333333333,0,0,1.5,0,0.03333333333,0,0.06666666667,0,0.06666666667,0.01666666667,0.1166666667,0.03333333333,0.01666666667,0.1333333333,0.03333333333,0.1333333333,0.05,0,0.4,0.1,0.2166666667,0.9166666667,0.3333333333,1,3425,33.7,87.9,55.8,13,42.8
51153901014,0.700180614,0.203454509,0.092933948,0.099252072,0.008492569,0.117399741,0.089303632,0.089504315,,0.125255276,7.093647814,54.45186,0.159426034,32.01979424,883990.7633,0.28546388,1.633868942,3670.781811,4.785313936,0,1.139751735,0,4983,1469,1413,0.09953843066,0.1049568533,0.2024062279,0.05024769993,0.06194690265,0,0.03467799009,0.04387827318,0.004214328718,0.7658,0.03812117086,0.08025065696,0.6755838641,0.1719745223,0.01910828025,0.008917197452,0,0.1244161359,0.06157112527,0.02052370842,33.53732429,0.3298878205,0.8867392181,1473,412,15,23,53,46,8,1,0,14,405,2450,167,0.01796407186,0.09580838323,0.8323353293,0.05389221557,0.02395209581,0.005988023952,1.71257485,0.02994011976,0.0119760479,0.01796407186,0.05988023952,0.02395209581,0.07784431138,0.005988023952,0.1976047904,0.01796407186,0.02395209581,0.125748503,0.05389221557,0.1137724551,0.05988023952,0.03592814371,0.2934131737,0.1676646707,0.1556886228,0.9820359281,0.2934131737,0.7844311377,5083,36.7,131.5,46.8,11.8,35
